K=3, W/V=1.3578722, K=3, time:0.247
414 1 1 0 
415 1 1 1 
416 1 0 0 
417 1 0 0 
418 1 0 0 
419 1 0 0 
420 1 0 0 
421 1 0 0 
422 1 0 0 
423 1 0 0 
424 1 0 0 

query feasibility y on node k:

1    2    3    
1 1 0 0 
2 0 0 1 
3 1 0 0 
4 1 0 0 
5 1 0 0 
6 0 1 0 
7 1 0 0 
8 1 0 0 
9 1 0 0 
10 1 1 0 
11 1 0 0 
12 1 0 1 
13 1 0 0 
14 0 1 0 
15 1 1 0 
16 1 0 0 
17 1 1 0 
18 1 0 0 
19 1 0 0 
20 1 0 0 
21 1 0 0 
23 0 1 0 
24 1 0 0 
25 1 0 0 
26 1 0 0 
27 1 0 0 
28 1 0 0 
29 1 1 0 
30 1 0 0 
31 1 0 0 
32 1 0 0 
33 1 0 0 
34 1 0 0 
35 1 1 0 
37 1 0 0 
38 0 1 0 
39 1 0 0 
40 1 0 0 
41 1 0 1 
42 1 0 0 
43 0 0 1 
44 1 0 0 
45 1 1 0 
46 1 0 0 
47 0 0 1 
48 1 0 0 
49 1 0 0 
50 1 1 0 
51 0 0 1 
52 1 0 0 
53 0 0 1 
54 1 0 0 
55 1 0 0 
56 1 0 0 
57 1 1 0 
58 1 0 0 
59 0 0 1 
60 1 0 0 
61 1 0 0 
62 1 0 0 
63 0 0 1 
64 1 0 0 
65 0 0 1 
66 1 0 0 
67 0 0 1 
68 1 0 0 
69 1 1 0 
71 1 0 0 
72 1 0 0 
73 1 0 0 
74 1 0 0 
75 1 0 0 
76 1 0 0 
77 1 0 0 
78 1 1 0 
79 1 0 0 
80 1 0 0 
81 1 0 0 
82 1 0 0 
83 1 0 0 
84 1 0 0 
85 1 0 0 
87 0 1 0 
88 1 0 0 
89 0 0 1 
90 1 0 0 
91 1 0 0 
92 1 0 0 
93 1 0 0 
94 1 0 0 
95 1 0 0 
96 1 0 0 
97 0 1 0 
98 1 0 0 
99 1 0 1 

workload distribution ohne node failure:

1    2    3    
1 1.00000000 0.00000000 0.00000000 
2 0.00000000 0.00000000 1.00000000 
3 1.00000000 0.00000000 0.00000000 
4 1.00000000 0.00000000 0.00000000 
5 1.00000000 0.00000000 0.00000000 
6 0.00000000 1.00000000 0.00000000 
7 1.00000000 0.00000000 0.00000000 
8 1.00000000 0.00000000 0.00000000 
9 1.00000000 0.00000000 0.00000000 
10 0.00000000 1.00000000 0.00000000 
11 1.00000000 0.00000000 0.00000000 
12 0.00000000 0.00000000 1.00000000 
13 1.00000000 0.00000000 0.00000000 
14 0.00000000 1.00000000 0.00000000 
15 0.06430613 0.93569387 0.00000000 
16 1.00000000 0.00000000 0.00000000 
17 0.06430613 0.93569387 0.00000000 
18 1.00000000 0.00000000 0.00000000 
19 1.00000000 0.00000000 0.00000000 
20 1.00000000 0.00000000 0.00000000 
21 1.00000000 0.00000000 0.00000000 
23 0.00000000 1.00000000 0.00000000 
24 1.00000000 0.00000000 0.00000000 
25 1.00000000 0.00000000 0.00000000 
26 1.00000000 0.00000000 0.00000000 
27 1.00000000 0.00000000 0.00000000 
28 1.00000000 0.00000000 0.00000000 
29 0.06430613 0.93569387 0.00000000 
30 1.00000000 0.00000000 0.00000000 
31 1.00000000 0.00000000 0.00000000 
32 1.00000000 0.00000000 0.00000000 
33 1.00000000 0.00000000 0.00000000 
34 1.00000000 0.00000000 0.00000000 
35 0.00000000 1.00000000 0.00000000 
37 1.00000000 0.00000000 0.00000000 
38 0.00000000 1.00000000 0.00000000 
39 1.00000000 0.00000000 0.00000000 
40 1.00000000 0.00000000 0.00000000 
41 0.00000000 0.00000000 1.00000000 
42 1.00000000 0.00000000 0.00000000 
43 0.00000000 0.00000000 1.00000000 
44 1.00000000 0.00000000 0.00000000 
45 0.05882353 0.94117647 0.00000000 
46 1.00000000 0.00000000 0.00000000 
47 0.00000000 0.00000000 1.00000000 
48 1.00000000 0.00000000 0.00000000 
49 1.00000000 0.00000000 0.00000000 
50 0.06430613 0.93569387 0.00000000 
51 0.00000000 0.00000000 1.00000000 
52 1.00000000 0.00000000 0.00000000 
53 0.00000000 0.00000000 1.00000000 
54 1.00000000 0.00000000 0.00000000 
55 1.00000000 0.00000000 0.00000000 
56 1.00000000 0.00000000 0.00000000 
57 0.06430613 0.93569387 0.00000000 
58 1.00000000 0.00000000 0.00000000 
59 0.00000000 0.00000000 1.00000000 
60 1.00000000 0.00000000 0.00000000 
61 1.00000000 0.00000000 0.00000000 
62 1.00000000 0.00000000 0.00000000 
63 0.00000000 0.00000000 1.00000000 
64 1.00000000 0.00000000 0.00000000 
65 0.00000000 0.00000000 1.00000000 
66 1.00000000 0.00000000 0.00000000 
67 0.00000000 0.00000000 1.00000000 
68 1.00000000 0.00000000 0.00000000 
69 0.00000000 1.00000000 0.00000000 
71 1.00000000 0.00000000 0.00000000 
72 1.00000000 0.00000000 0.00000000 
73 1.00000000 0.00000000 0.00000000 
74 1.00000000 0.00000000 0.00000000 
75 1.00000000 0.00000000 0.00000000 
76 1.00000000 0.00000000 0.00000000 
77 1.00000000 0.00000000 0.00000000 
78 0.06430613 0.93569387 0.00000000 
79 1.00000000 0.00000000 0.00000000 
80 1.00000000 0.00000000 0.00000000 
81 1.00000000 0.00000000 0.00000000 
82 1.00000000 0.00000000 0.00000000 
83 1.00000000 0.00000000 0.00000000 
84 1.00000000 0.00000000 0.00000000 
85 1.00000000 0.00000000 0.00000000 
87 0.00000000 1.00000000 0.00000000 
88 1.00000000 0.00000000 0.00000000 
89 0.00000000 0.00000000 1.00000000 
90 1.00000000 0.00000000 0.00000000 
91 1.00000000 0.00000000 0.00000000 
92 1.00000000 0.00000000 0.00000000 
93 1.00000000 0.00000000 0.00000000 
94 1.00000000 0.00000000 0.00000000 
95 1.00000000 0.00000000 0.00000000 
96 1.00000000 0.00000000 0.00000000 
97 0.00000000 1.00000000 0.00000000 
98 1.00000000 0.00000000 0.00000000 
99 0.48443588 0.00000000 0.51556412 

zz_test [*] :=
 1 1   10 1   19 1   29 1   39 1   48 1   57 1   66 1   76 1   85 1   95 1
 2 1   11 1   20 1   30 1   40 1   49 1   58 1   67 1   77 1   87 1   96 1
 3 1   12 1   21 1   31 1   41 1   50 1   59 1   68 1   78 1   88 1   97 1
 4 1   13 1   23 1   32 1   42 1   51 1   60 1   69 1   79 1   89 1   98 1
 5 1   14 1   24 1   33 1   43 1   52 1   61 1   71 1   80 1   90 1   99 1
 6 1   15 1   25 1   34 1   44 1   53 1   62 1   72 1   81 1   91 1
 7 1   16 1   26 1   35 1   45 1   54 1   63 1   73 1   82 1   92 1
 8 1   17 1   27 1   37 1   46 1   55 1   64 1   74 1   83 1   93 1
 9 1   18 1   28 1   38 1   47 1   56 1   65 1   75 1   84 1   94 1
;

K_test [*] :=
1  0.333333333333
2  0.333333333333
3  0.333333333333
;

