    1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26    27    28    29    30    31    32    33    34    35    36    37    38    39    40    41    42    43    44    45    46    47    48    49    50    51    52    53    54    55    56    57    58    59    60    61    62    63    64    65    66    67    68    69    70    71    72    73    74    75    76    77    78    79    80    81    82    83    84    85    86    87    88    89    90    91    92    93    94    95    96    97    98    99   100 
   15 1.00000000 0.00000000 0.00000000 2.20877621 1.90996520 2.16145238 1.38432449 2.45503465 1.35987949 0.42878383 0.79703425 0.00000000 0.31113244 0.21196521 0.00000000 1.85590408 0.00000000 0.00000000 2.04444672 0.00000000 0.35770360 1.47123182 1.69590763 2.09858529 0.04245610 0.29385438 1.11359492 0.00000000 2.08432815 1.85131608 2.00257228 1.32442449 1.75712839 0.01649704 2.58597574 0.00469312 1.45694556 0.13119573 2.09413947 0.00000000 0.00000000 0.05610885 2.14139140 0.19543835 0.80250205 0.62077852 2.60681658 0.00000000 0.00000000 0.39861201 1.92193397 2.31950072 0.00000000 0.00000000 0.00000000 0.00000000 0.37535293 0.00000000 0.26432956 2.58539504 0.76435351 1.01864827 0.00000000 0.78231316 0.00000000 0.97904287 1.57015035 0.00000000 2.26851438 0.27211631 0.00000000 1.23222478 0.00000000 2.01576647 0.00000000 1.02094869 0.00000000 2.33786907 2.57231304 0.52567365 1.82435506 0.93711063 1.03037170 0.42217154 0.40760922 0.00000000 2.56675670 1.05714967 0.00000000 1.53965761 0.39501742 0.70836588 0.71226487 0.00000000 0.00000000 0.73988579 1.44967735 0.00000000 0.03597774 0.61022863
   16 1.00000000 1.59501044 0.96640430 0.00000000 1.35647327 0.00000000 0.00000000 2.24009988 0.00000000 1.19292269 0.00000000 2.61416280 0.00000000 0.09455285 0.00000000 0.81159384 2.06093645 0.00000000 1.56958382 2.56542611 0.12082445 2.22545949 0.00000000 0.83142292 0.00000000 0.36381222 0.00000000 0.00000000 0.73013563 0.10576863 1.42162968 0.38409671 2.57677545 0.00000000 0.91494107 1.79300397 0.00000000 0.23964391 1.37909679 2.50469578 0.00000000 0.64388934 0.86509512 0.11622877 1.67600252 1.06565766 2.05483242 0.00000000 2.33858256 0.00000000 1.23200743 0.30256224 0.88218951 1.11116887 0.00000000 0.00000000 0.82170617 1.17860471 0.00000000 0.00000000 0.22535381 1.74743905 0.95827907 0.79266949 2.21405795 1.77190822 1.76361423 2.57446060 1.48474299 1.26249665 0.00000000 0.00000000 1.79399137 1.52379385 1.55433790 0.00000000 2.30322803 2.09018687 1.81531430 0.55961969 2.10403667 1.19649264 0.80755537 0.00000000 2.37925481 0.10875523 1.83922466 0.03096937 0.00000000 2.43961927 0.13723595 0.00555854 0.00000000 2.17344141 0.63423378 1.76719652 0.00000000 1.45965549 0.54015420 2.36324384
   17 1.00000000 0.10755314 1.16191728 1.70176935 2.28703971 0.00000000 1.67900644 0.08282494 1.87830408 1.52159433 1.86000898 0.10775914 0.54533253 0.82220024 1.55318907 0.00000000 0.35955866 1.55741147 0.00000000 0.00000000 1.49896089 0.56494319 1.41233139 2.11574518 1.98515513 1.01745950 1.13423351 2.53534770 0.00000000 0.00000000 0.41918597 0.00000000 1.00548965 0.57672852 1.44025221 0.00000000 0.95782950 1.78400534 0.55495960 1.88272646 0.00000000 0.66060801 1.94699900 0.00000000 0.96795670 0.00000000 1.07074145 1.89085798 1.80642225 0.67769529 0.00000000 2.05738856 1.12361430 2.15272370 2.47452502 2.59780260 1.87253424 0.00000000 0.43041074 1.58271394 0.00000000 1.69800870 1.15389251 0.90726696 0.07061377 0.00000000 1.39837051 1.79131690 0.18990640 2.56885316 0.00000000 0.69365804 2.44223750 1.84151015 0.00000000 1.67583801 1.45744707 1.94979159 2.13148500 0.00000000 0.96430351 0.26937883 1.83175023 0.08788882 0.06535319 1.34657369 0.20068821 1.74119104 1.98573378 1.27218073 0.45917360 0.30431361 0.34519482 1.63950136 0.33431500 0.00000000 2.59681581 1.74777435 2.63678892 0.00000000
   18 1.00000000 0.00000000 0.33204700 2.52346308 1.78087039 0.00000000 0.00000000 0.12112497 0.15462375 1.64462022 0.00000000 0.70749377 0.00000000 0.13371986 0.00000000 1.82633925 0.00000000 1.57352583 0.00000000 0.74894964 1.52883897 1.00418510 1.07559337 2.45063293 1.72510212 0.87704414 1.73612038 2.14823331 0.84334854 0.00000000 0.67997956 1.90623830 0.00000000 0.00000000 0.16103263 0.11161881 0.00000000 0.00000000 0.68322953 1.22918726 1.25009922 0.00000000 1.60810374 0.17841009 1.57024257 1.80959772 0.00000000 0.00052227 1.89018516 2.05181649 0.00000000 0.00000000 0.00000000 0.48275729 0.00000000 0.00000000 2.50005393 0.00000000 0.08940297 0.00000000 2.06134664 0.00000000 0.41274677 0.15890459 1.76095867 2.09979963 2.65446826 0.14527687 0.19912040 1.76879290 0.61844035 0.00000000 1.10688382 0.57225839 0.84873807 1.97915362 1.80101318 2.16926190 2.10153034 2.04301947 0.79344769 0.00000000 0.22485774 0.31652602 1.79812856 1.49993465 2.60133361 0.96309359 0.00000000 0.00000000 0.00000000 0.02299491 0.00000000 0.10350204 1.31706610 0.00000000 2.04549189 0.50197944 0.00000000 0.00000000
   19 1.00000000 0.00000000 1.35242130 1.14263852 2.27376097 2.21148363 1.76017550 1.67378414 1.60925157 1.75407529 0.00000000 0.00000000 1.28538973 2.19460888 1.68492436 0.00000000 0.31827134 0.00000000 0.00000000 1.86744488 0.83309676 0.95313983 0.70031657 2.59212103 1.52701978 0.96737506 1.30714511 0.82185715 0.42386324 0.42665842 2.55434957 0.00000000 0.00000000 2.18773426 0.59041237 0.76036383 0.00000000 0.97698001 1.58950319 0.03234775 1.10414471 1.04403922 2.01178961 0.04804757 0.14842277 2.35639961 1.05130409 0.00000000 0.89931217 0.01595717 2.52208033 0.82744058 0.16100450 1.66024854 0.30697806 0.15836560 0.00000000 0.71700036 0.77156524 0.00000000 1.93569083 0.00000000 0.39457379 0.72965455 0.00000000 0.00000000 1.84396413 0.00000000 0.00000000 1.60205314 1.49661442 1.91495529 2.18659909 0.64763267 1.25348565 2.23063124 0.09252300 2.23916715 2.49857352 0.57999140 0.00000000 1.72693528 1.53536535 0.00000000 1.58694308 1.38561247 0.61050769 2.53506334 1.84974167 2.46411486 0.31827402 2.36881900 1.73408634 1.23678281 0.00000000 0.00000000 0.00000000 1.92170062 0.00000000 1.14932994
   20 1.00000000 1.57373566 0.00000000 0.34719480 0.00000000 0.43087218 0.14639854 0.81588100 1.46967887 1.79565139 0.15430218 1.22371712 0.00000000 0.89821120 2.16878535 2.46392344 1.61325447 0.00000000 1.19659641 0.97385232 0.00000000 1.08229403 0.00000000 1.67531206 0.76462142 1.67361189 0.53113525 1.42629986 1.99748139 0.93492789 0.00000000 0.43598030 1.66854590 0.91901205 1.82405110 0.00000000 0.00000000 1.14857128 1.66669054 0.49304731 2.56750597 1.49372109 1.06031608 0.00000000 0.24484144 0.71338675 0.00000000 0.82019368 1.49757205 2.02406501 1.94879998 2.60435129 1.93295506 0.00000000 2.62693308 1.12847471 0.03956678 0.00000000 2.41371994 0.00000000 1.09594538 2.43556222 0.00000000 0.16307555 0.52623408 0.00000000 2.53895359 1.92364330 0.00000000 0.48669721 2.58063086 1.61702897 1.65737322 1.91051484 0.00000000 0.22090829 0.93253444 0.00000000 1.45693807 0.45490356 0.40130433 1.98793707 1.33487842 0.34228608 0.00000000 0.00000000 2.09336294 0.28921781 1.10278969 0.00000000 0.51970747 0.28462699 1.65271779 0.10852095 2.32838368 1.85941411 1.50787390 0.00000000 1.58436614 1.85825955
   21 1.00000000 0.00000000 1.43454445 1.59425445 0.00000000 2.20533859 1.32235255 2.49821693 0.00000000 2.21061016 0.00000000 1.18604177 0.12381497 2.12660111 0.47035640 0.00000000 0.00000000 0.00000000 2.41385696 0.20808452 0.00000000 1.34304707 0.62554667 2.39046399 1.27660127 0.23132575 1.57992068 2.22416187 0.00000000 2.01564273 1.88044811 2.63290187 0.79017021 1.81623644 0.33675099 0.97973099 1.42208534 1.47982367 1.22923956 0.47731748 0.33878412 2.21459050 0.77185773 2.06914632 0.00000000 0.00000000 2.51070657 2.38997566 0.31765589 1.46910835 2.62599501 0.69194947 0.00000000 0.00056878 0.00000000 1.32233895 2.61191648 0.00000000 0.76623785 1.54381291 1.38857884 1.88684045 0.00000000 0.58673879 1.72500090 0.00000000 1.26545402 0.00000000 0.50974207 1.71100812 0.00000000 1.10989794 1.16075068 0.56470899 0.00000000 0.00000000 2.20703533 2.16830818 0.00000000 0.00000000 0.00000000 2.59369737 1.86211592 2.09387497 0.38808843 2.65031823 1.42390045 0.00000000 1.97531502 0.68488035 0.42673228 0.00000000 0.00000000 1.44296709 0.41773626 0.46861624 0.00000000 2.28597916 2.12753675 2.14429522
   22 1.00000000 1.78202880 0.53195440 2.25373549 1.38045924 0.28568415 0.00000000 0.12604918 0.00000000 0.09478984 1.41865452 0.00000000 2.05130701 1.62394569 2.60827885 2.18750358 0.00000000 0.00000000 1.86519529 1.45253454 1.48646365 0.00000000 0.00000000 1.19019042 0.00000000 1.17246031 0.44828431 2.35128022 0.93119446 1.83230476 2.46449272 0.00000000 1.02583540 1.72521222 2.55944162 0.95921426 0.00000000 2.36474561 1.62169078 1.52851563 1.08363645 2.50728237 0.89803804 1.88224169 0.24899687 0.44299486 0.19692478 0.00000000 0.00000000 0.00000000 2.58303180 1.09034842 2.34725769 1.32150838 0.00000000 0.17556171 0.00000000 0.00000000 0.00000000 0.00000000 0.41772082 1.92849862 0.94998942 1.53247714 0.73338022 2.19976963 0.32855399 1.28811831 2.60412258 2.50556142 2.49554767 2.22700968 0.65209060 1.06958038 2.30535493 1.81424446 1.84561517 0.00000000 0.00000000 0.00000000 0.00000000 0.88929041 0.00128714 0.72344927 0.18083404 1.56688273 1.48142199 0.00000000 1.33306018 1.65831463 2.12860230 0.32293115 0.15638981 1.09498093 0.16966703 0.21909419 1.30555833 0.02582728 0.00000000 0.55160489
   23 1.00000000 2.55475637 2.39896167 2.31057543 0.00000000 2.61205554 1.60048807 2.24479540 0.38499149 2.11835673 0.00000000 2.04266232 0.01774123 0.00000000 1.90512652 1.70546091 0.00000000 0.98835529 0.01493305 0.84720571 1.13803927 1.05768976 0.12101146 2.27928618 0.35690928 1.06337544 0.28246812 2.59072382 0.89375046 1.47651917 0.00000000 1.27201656 0.93524450 0.00000000 0.92716571 2.22534477 2.52603108 0.00000000 2.32572384 0.00000000 0.00000000 0.00000000 1.61767571 0.52332866 2.36099739 0.61842999 0.29157914 1.88624790 2.06451270 0.97993170 0.00000000 0.00000000 2.56077510 1.93567507 1.00418840 2.07601983 0.94035192 0.82303109 1.56012978 0.00000000 1.23343509 1.30967809 0.00000000 0.00000000 0.81006987 0.85118879 0.10864559 1.19776352 2.20690274 0.00000000 1.95139634 0.40939645 0.00000000 0.00000000 1.94216770 1.79764158 0.66934254 1.88219064 1.61405878 1.68399845 1.73601324 0.00000000 0.52548442 1.14476671 2.19502902 0.00000000 1.08675989 2.23280353 0.00000000 1.94014697 2.42197103 2.17360557 0.81649179 0.00000000 0.14017155 0.71150279 0.26054578 1.46980419 0.00000000 1.74802367
   24 1.00000000 0.01827000 0.00000000 1.38251472 0.40739086 0.00000000 1.62952138 2.19279114 0.00000000 0.66704082 0.77094957 0.00000000 1.49132007 0.00000000 2.54098281 0.61089612 0.07945713 0.91456939 2.44032641 0.00000000 2.11615430 0.56586767 2.43898761 0.00000000 0.21345582 0.05581138 0.00000000 1.60685066 0.58444132 2.60797702 1.42644919 0.00000000 1.35935969 0.12134827 0.00000000 0.00000000 0.61208224 2.48194560 0.85340095 2.55090823 0.48317734 2.41888126 0.00000000 0.00000000 1.81919636 1.50199429 1.97239090 0.84185320 2.47595629 0.39085330 1.37464556 2.43072056 0.55909630 0.00000000 0.44700534 2.17609584 1.04911564 2.55722410 1.62735629 0.86103895 0.18950156 0.93212209 1.42460169 0.22281153 1.19141923 1.59875900 0.38108828 1.10286302 0.80230775 2.12396892 0.00000000 0.00000000 1.44982419 0.00000000 1.07979236 0.00000000 1.31020451 2.29885762 1.68165600 0.00000000 0.83283707 2.29611241 2.14941821 1.31400174 0.92416552 1.45803681 0.60256581 0.00000000 0.00000000 0.44130748 1.64258661 1.10961816 1.36959772 0.00000000 1.58623215 1.08606942 0.58319399 0.90193742 0.00000000 0.81978419
   25 1.00000000 1.78048659 0.00000000 0.00000000 2.06098615 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 1.52398930 1.89746884 0.00000000 1.99313471 0.31421756 1.53674351 1.35073398 0.66738389 0.00000000 0.34095305 0.00000000 2.11638564 0.43584328 1.67128610 0.00000000 2.09690308 0.99850778 0.00000000 1.40041069 0.00000000 2.30375503 0.49669626 0.53884981 0.00000000 1.00305621 1.36229680 1.55258811 0.45415385 0.00000000 0.20291273 0.00000000 2.21156903 0.14068487 0.22446650 1.88139575 1.42387804 1.24322291 0.44499262 2.33045468 1.81104063 0.00000000 0.90775940 0.36116834 2.47040161 0.00000000 1.60752130 2.01563372 2.53723408 2.33356914 1.47407032 1.10845038 0.32088290 1.81832428 1.88945772 0.00000000 0.68909786 2.04165354 0.00000000 1.91802055 0.00000000 0.00000000 0.05078388 0.55543662 1.68936051 0.00000000 0.00000000 2.17548837 0.16089754 2.51521738 2.46249861 1.85285406 2.21622346 1.84208828 0.00000000 0.00000000 1.37899886 0.00000000 1.62477355 1.65088335 1.85898762 1.69681319 0.00000000 0.89610254 1.99243280 0.69474169 0.32488793 0.75832924 1.03415869 0.00000000 1.00193869
   26 1.00000000 0.00000000 1.13820776 1.85488452 1.63176940 0.00000000 0.00000000 2.62310900 2.14504293 0.00000000 0.85542354 0.67462193 1.59768699 2.61250869 0.30853755 1.95934238 0.73940959 1.70699055 0.03529055 2.01585503 1.15704400 1.35831617 1.71629251 2.34763933 0.00000000 0.00000000 2.39101008 0.90787621 0.79779832 0.56159421 0.73732846 1.00874605 2.30326481 0.00000000 1.64793508 0.00000000 0.00000000 2.64278957 0.53266249 0.00000000 0.09642963 0.65698174 1.41185500 0.46099877 1.08081801 1.52896569 0.00000000 1.86321294 0.00000000 1.74343788 0.44713239 0.83111330 0.55856970 1.07778554 0.00000000 0.00000000 1.91377661 1.84492013 0.00000000 0.00000000 1.51768125 1.50494492 2.23633834 0.85696944 0.02085772 0.00000000 0.00000000 0.00000000 1.26794331 1.86225193 1.51270219 0.00000000 0.00000000 2.60904922 0.00000000 0.65112416 0.92377325 0.60314804 0.79210718 0.71115719 0.00000000 1.13743101 1.25965794 0.82687393 0.00000000 1.85000112 0.00000000 1.95333241 0.96696340 0.00000000 0.00000000 1.90330953 1.37607217 1.09180699 2.33532323 0.64571842 0.00000000 2.62498225 1.59838331 0.07781610
