K=2, W/V=1.1736350, K=2, time:0.051

ca [*] :=
250 0 0 
251 1 1 
252 0 0 
253 0 0 
254 0 0 
255 0 0 
256 0 1 
257 0 0 
258 0 0 
259 0 1 
260 0 1 
261 0 0 
262 0 1 
263 0 0 
264 0 0 
265 0 0 
266 0 0 
267 0 0 
268 0 0 
269 0 0 
270 0 1 
271 0 1 
272 0 0 
273 0 0 
274 0 0 
275 0 0 
276 0 0 
277 0 0 
278 0 0 
279 1 0 
280 1 0 
281 1 0 
282 1 0 
283 0 1 
284 0 0 
285 1 1 
286 0 0 
287 0 0 
288 0 0 
289 0 0 
290 0 1 
291 0 0 
292 0 0 
293 0 1 
294 0 1 
295 0 0 
296 0 0 
297 0 0 
298 0 0 
299 1 1 
300 0 1 
301 0 1 
302 0 0 
303 0 1 
304 0 0 
305 0 0 
306 0 1 
307 0 1 
308 0 1 
309 0 1 
310 0 1 
311 0 0 
312 0 1 
313 0 0 
314 0 1 
315 0 0 
316 0 1 
317 0 0 
318 0 1 
319 0 0 
320 0 0 
321 0 1 
322 0 1 
323 0 1 
324 0 1 
325 0 1 
326 0 0 
327 0 0 
328 0 1 
329 0 0 
330 0 1 
331 0 0 
332 0 0 
333 0 1 
334 1 1 
335 0 1 
336 0 1 
337 1 1 
338 1 1 
339 0 0 
340 0 1 
341 0 1 
342 0 1 
343 0 1 
344 0 1 
345 0 1 
346 0 1 
347 0 1 
348 0 1 
349 0 1 
350 0 1 
351 0 1 
352 0 1 
353 0 1 
354 0 0 
355 1 1 
356 0 1 
357 0 1 
358 0 0 
359 0 1 
360 0 0 
361 0 0 
362 0 1 
363 0 1 
364 0 1 
365 0 1 
366 0 1 
367 0 1 
368 1 1 
369 0 1 
370 1 1 
371 1 1 
372 1 0 
373 1 1 
374 0 1 
375 0 1 
376 0 1 
377 0 1 
378 0 1 
379 0 1 
380 0 1 
381 0 1 
382 0 1 
383 1 1 
384 1 1 
385 1 1 
386 1 1 
387 0 1 
388 0 0 
389 0 1 
390 0 0 
391 0 1 
392 0 0 
393 0 1 
394 0 0 
395 0 0 
396 0 0 
397 0 1 
398 0 1 
399 0 1 
400 0 1 
401 0 1 
402 1 1 
403 0 1 
404 1 1 
405 1 1 
406 0 1 
407 0 1 
408 0 1 
409 1 1 
410 0 1 
411 0 1 
412 0 1 
413 0 1 
414 0 1 
415 1 1 
416 0 0 
417 0 1 
418 0 0 
419 0 1 
420 0 1 
421 0 1 
422 0 1 
423 0 0 
424 0 1 

query feasibility y on node k:

1    2    
34 0 1 
35 0 1 
37 1 0 
38 1 1 
39 1 0 
40 0 1 
41 0 1 
42 0 1 
43 1 1 
44 0 1 
45 0 1 
46 0 1 
47 1 1 
48 0 1 
49 0 1 
50 0 1 
51 1 1 
52 0 1 
53 1 1 
54 0 1 
55 0 1 
56 0 1 
57 0 1 
58 0 1 
59 1 0 
60 0 1 
61 0 1 
62 0 1 
63 1 1 
64 0 1 
65 1 0 
66 0 1 
67 0 1 
68 0 1 
69 0 1 
71 0 1 
72 1 0 
73 0 1 
74 0 1 
75 0 1 
76 0 1 
77 0 1 
78 0 1 
79 0 1 
80 0 1 
81 0 1 
82 1 0 
83 0 1 
84 0 1 
85 0 1 
87 1 1 
88 0 1 
89 1 1 
90 0 1 
91 0 1 
92 0 1 
93 0 1 
94 0 1 
95 0 1 
96 0 1 
97 1 1 
98 0 1 
99 0 1 

workload distribution ohne node failure:

1    2    
34 0.00000000 1.00000000 
35 0.00000000 1.00000000 
37 1.00000000 0.00000000 
38 0.63636364 0.36363636 
39 1.00000000 0.00000000 
40 0.00000000 1.00000000 
41 0.00000000 1.00000000 
42 0.00000000 1.00000000 
43 0.88888889 0.11111111 
44 0.00000000 1.00000000 
45 0.00000000 1.00000000 
46 0.00000000 1.00000000 
47 0.90909091 0.09090909 
48 0.00000000 1.00000000 
49 0.00000000 1.00000000 
50 0.00000000 1.00000000 
51 0.72524287 0.27475713 
52 0.00000000 1.00000000 
53 0.92307692 0.07692308 
54 0.00000000 1.00000000 
55 0.00000000 1.00000000 
56 0.00000000 1.00000000 
57 0.00000000 1.00000000 
58 0.00000000 1.00000000 
59 1.00000000 0.00000000 
60 0.00000000 1.00000000 
61 0.00000000 1.00000000 
62 0.00000000 1.00000000 
63 0.91666667 0.08333333 
64 0.00000000 1.00000000 
65 1.00000000 0.00000000 
66 0.00000000 1.00000000 
67 0.00000000 1.00000000 
68 0.00000000 1.00000000 
69 0.00000000 1.00000000 
71 0.00000000 1.00000000 
72 1.00000000 0.00000000 
73 0.00000000 1.00000000 
74 0.00000000 1.00000000 
75 0.00000000 1.00000000 
76 0.00000000 1.00000000 
77 0.00000000 1.00000000 
78 0.00000000 1.00000000 
79 0.00000000 1.00000000 
80 0.00000000 1.00000000 
81 0.00000000 1.00000000 
82 1.00000000 0.00000000 
83 0.00000000 1.00000000 
84 0.00000000 1.00000000 
85 0.00000000 1.00000000 
87 0.63636364 0.36363636 
88 0.00000000 1.00000000 
89 0.91666667 0.08333333 
90 0.00000000 1.00000000 
91 0.00000000 1.00000000 
92 0.00000000 1.00000000 
93 0.00000000 1.00000000 
94 0.00000000 1.00000000 
95 0.00000000 1.00000000 
96 0.00000000 1.00000000 
97 0.71428571 0.28571429 
98 0.00000000 1.00000000 
99 0.00000000 1.00000000 

zz_test [*] :=
34 1   41 1   47 1   53 1   59 1   65 1   72 1   78 1   84 1   91 1   97 1
35 1   42 1   48 1   54 1   60 1   66 1   73 1   79 1   85 1   92 1   98 1
37 1   43 1   49 1   55 1   61 1   67 1   74 1   80 1   87 1   93 1   99 1
38 1   44 1   50 1   56 1   62 1   68 1   75 1   81 1   88 1   94 1
39 1   45 1   51 1   57 1   63 1   69 1   76 1   82 1   89 1   95 1
40 1   46 1   52 1   58 1   64 1   71 1   77 1   83 1   90 1   96 1
;

K_test [*] :=
1  0.5
2  0.5
;

