K=5, W/V=1.5557248, K=5, time:0.927

ca [*] :=
1  5
;

fragment allocation x on node k:
266 0 0 0 0 0 
267 0 0 0 0 0 
268 0 0 0 0 0 
269 0 0 0 0 0 
270 0 0 1 0 0 
271 0 0 1 0 0 
272 0 0 0 0 0 
273 0 0 0 0 0 
274 0 0 0 0 0 
275 0 0 0 0 0 
276 0 0 0 0 0 
277 0 0 0 0 0 
278 0 0 0 0 0 
279 1 0 0 0 0 
280 1 0 0 0 0 
281 1 0 0 0 0 
282 1 0 0 0 0 
283 0 0 1 0 1 
284 0 0 0 0 0 
285 1 0 1 0 0 
286 0 0 0 0 0 
287 0 0 0 0 0 
288 0 0 0 0 0 
289 0 0 0 0 0 
290 0 0 1 0 1 
291 0 0 0 0 0 
292 0 0 0 0 0 
293 0 0 0 0 1 
294 0 0 1 0 0 
295 0 0 0 0 0 
296 0 0 0 0 0 
297 0 0 0 0 0 
298 0 0 0 0 0 
299 1 0 1 0 0 
300 1 0 1 0 0 
301 1 0 1 0 0 
302 0 0 0 0 0 
303 0 0 0 0 1 
304 0 0 0 0 0 
305 0 0 0 0 0 
306 0 0 1 0 0 
307 0 0 1 0 0 
308 0 0 1 0 0 
309 0 0 1 0 0 
310 0 0 1 0 0 
311 0 0 0 0 0 
312 1 0 1 0 0 
313 0 0 0 0 0 
314 0 0 1 0 0 
315 0 0 0 0 0 
316 0 0 1 0 0 
317 0 0 0 0 0 
318 0 0 1 0 0 
319 0 0 0 0 0 
320 0 0 0 0 0 
321 0 0 1 0 0 
322 0 0 1 0 0 
323 1 0 1 0 0 
324 1 0 1 0 0 
325 1 0 1 0 0 
326 0 0 0 0 0 
327 0 0 0 0 0 
328 0 0 1 0 0 
329 0 0 0 0 0 
330 0 0 1 0 0 
331 0 0 0 0 0 
332 0 0 0 0 0 
333 0 0 1 0 0 
334 1 0 1 0 1 
335 0 0 1 0 0 
336 0 0 1 0 1 
337 1 0 1 0 1 
338 0 0 1 0 1 
339 0 0 0 0 0 
340 0 0 1 0 0 
341 0 0 1 0 0 
342 0 0 1 0 0 
343 0 0 1 0 0 
344 0 0 1 0 0 
345 0 0 1 0 0 
346 0 0 1 0 0 
347 0 0 1 0 1 
348 0 0 1 0 1 
349 0 0 1 0 1 
350 0 0 1 0 0 
351 1 0 1 0 0 
352 1 0 1 0 0 
353 0 0 1 0 0 
354 0 0 0 0 0 
355 0 0 1 0 1 
356 0 0 1 0 0 
357 1 0 1 0 0 
358 0 0 0 0 0 
359 0 0 1 0 0 
360 0 0 0 0 0 
361 0 0 0 0 0 
362 0 0 1 0 0 
363 0 0 1 0 1 
364 0 0 1 0 0 
365 0 0 1 0 0 
366 0 0 1 0 0 
367 0 0 1 0 0 
368 1 1 1 0 1 
369 0 0 1 0 0 
370 1 0 1 0 0 
371 0 1 1 0 1 
372 1 0 0 0 0 
373 1 0 1 0 0 
374 0 0 1 0 0 
375 0 0 1 0 1 
376 0 0 1 0 0 
377 0 0 1 0 0 
378 0 0 1 0 0 
379 0 0 1 0 0 
380 0 0 1 0 0 
381 0 0 1 0 0 
382 0 0 1 0 0 
383 1 1 1 0 0 
384 1 0 1 0 0 
385 1 0 1 0 0 
386 1 0 1 0 0 
387 0 0 1 0 0 
388 0 0 0 0 0 
389 0 0 1 0 0 
390 0 0 0 0 0 
391 1 0 1 0 0 
392 0 0 0 0 0 
393 0 0 1 0 0 
394 0 0 0 0 0 
395 0 0 0 0 0 
396 0 0 0 0 0 
397 0 0 1 0 0 
398 0 0 1 0 0 
399 0 0 1 0 0 
400 0 0 1 0 0 
401 0 0 1 0 0 
402 1 1 1 1 1 
403 0 0 1 0 0 
404 1 1 1 1 1 
405 0 1 1 0 1 
406 0 0 1 0 0 
407 0 0 1 0 0 
408 0 0 1 0 0 
409 0 1 1 1 1 
410 0 0 1 0 0 
411 1 0 1 0 0 
412 1 1 1 0 0 
413 0 0 1 0 0 
414 0 0 1 0 0 
415 0 1 1 1 1 
416 0 0 0 0 0 
417 1 0 1 0 0 
418 0 0 0 0 0 
419 0 0 1 0 0 
420 0 0 1 0 0 
421 0 0 1 0 0 
422 0 0 1 0 1 
423 0 0 0 0 0 
424 0 0 1 0 0 

query feasibility y on node k:

1    2    3    4    5    
34 0 0 1 0 0 
35 0 0 0 0 1 
37 1 0 0 0 0 
38 0 0 0 0 1 
39 1 0 0 0 0 
40 0 0 1 0 0 
41 0 0 1 0 0 
42 0 0 1 0 0 
43 0 0 0 1 0 
44 0 0 1 0 0 
45 0 0 1 0 1 
46 0 0 1 0 0 
47 0 0 0 1 0 
48 0 0 1 0 0 
49 0 0 1 0 0 
50 0 0 1 0 0 
51 0 0 0 0 1 
52 0 0 1 0 0 
53 0 0 0 0 1 
54 0 0 1 0 0 
55 0 0 1 0 0 
56 0 0 1 0 0 
57 0 0 1 0 0 
58 1 0 1 0 0 
59 0 0 0 1 0 
60 0 0 1 0 0 
61 0 0 1 0 0 
62 0 0 0 0 1 
63 0 1 0 1 0 
64 0 0 1 0 0 
65 0 0 0 1 1 
66 0 0 1 0 0 
67 0 1 0 0 0 
68 0 0 1 0 0 
69 0 0 0 0 1 
71 0 0 1 0 0 
72 1 0 0 0 0 
73 0 0 1 0 0 
74 0 0 1 0 1 
75 1 0 1 0 0 
76 0 0 1 0 0 
77 0 0 1 0 0 
78 0 0 1 0 0 
79 0 0 1 0 0 
80 0 0 1 0 0 
81 0 0 0 0 1 
82 1 0 0 0 0 
83 0 0 1 0 0 
84 0 0 1 0 0 
85 0 0 1 0 0 
87 0 0 0 0 1 
88 0 0 1 0 0 
89 0 0 0 1 0 
90 0 0 1 0 0 
91 0 0 1 0 0 
92 0 0 1 0 0 
93 0 0 1 0 0 
94 0 0 1 0 0 
95 0 0 1 0 0 
96 0 0 1 0 0 
97 0 1 1 0 0 
98 1 0 0 0 0 
99 0 0 1 0 0 

workload distribution ohne node failure:

1    2    3    4    5    
34 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 
35 0.00000000 0.00000000 0.00000000 0.00000000 1.00000000 
37 1.00000000 0.00000000 0.00000000 0.00000000 0.00000000 
38 0.00000000 0.00000000 0.00000000 0.00000000 1.00000000 
39 1.00000000 0.00000000 0.00000000 0.00000000 0.00000000 
40 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 
41 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 
42 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 
43 0.00000000 0.00000000 0.00000000 1.00000000 0.00000000 
44 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 
45 0.00000000 0.00000000 0.00000000 0.00000000 1.00000000 
46 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 
47 0.00000000 0.00000000 0.00000000 1.00000000 0.00000000 
48 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 
49 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 
50 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 
51 0.00000000 0.00000000 0.00000000 0.00000000 1.00000000 
52 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 
53 0.00000000 0.00000000 0.00000000 0.00000000 1.00000000 
54 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 
55 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 
56 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 
57 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 
58 1.00000000 0.00000000 0.00000000 0.00000000 0.00000000 
59 0.00000000 0.00000000 0.00000000 1.00000000 0.00000000 
60 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 
61 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 
62 0.00000000 0.00000000 0.00000000 0.00000000 1.00000000 
63 0.00000000 0.25930703 0.00000000 0.74069297 0.00000000 
64 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 
65 0.00000000 0.00000000 0.00000000 0.99862509 0.00137491 
66 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 
67 0.00000000 1.00000000 0.00000000 0.00000000 0.00000000 
68 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 
69 0.00000000 0.00000000 0.00000000 0.00000000 1.00000000 
71 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 
72 1.00000000 0.00000000 0.00000000 0.00000000 0.00000000 
73 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 
74 0.00000000 0.00000000 0.00118340 0.00000000 0.99881660 
75 0.79421162 0.00000000 0.20578838 0.00000000 0.00000000 
76 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 
77 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 
78 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 
79 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 
80 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 
81 0.00000000 0.00000000 0.00000000 0.00000000 1.00000000 
82 1.00000000 0.00000000 0.00000000 0.00000000 0.00000000 
83 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 
84 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 
85 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 
87 0.00000000 0.00000000 0.00000000 0.00000000 1.00000000 
88 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 
89 0.00000000 0.00000000 0.00000000 1.00000000 0.00000000 
90 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 
91 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 
92 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 
93 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 
94 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 
95 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 
96 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 
97 0.00000000 1.00000000 0.00000000 0.00000000 0.00000000 
98 1.00000000 0.00000000 0.00000000 0.00000000 0.00000000 
99 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 

zz_test [*] :=
34 1   41 1   47 1   53 1   59 1   65 1   72 1   78 1   84 1   91 1   97 1
35 1   42 1   48 1   54 1   60 1   66 1   73 1   79 1   85 1   92 1   98 1
37 1   43 1   49 1   55 1   61 1   67 1   74 1   80 1   87 1   93 1   99 1
38 1   44 1   50 1   56 1   62 1   68 1   75 1   81 1   88 1   94 1
39 1   45 1   51 1   57 1   63 1   69 1   76 1   82 1   89 1   95 1
40 1   46 1   52 1   58 1   64 1   71 1   77 1   83 1   90 1   96 1
;

K_test [*] :=
1  0.2
2  0.2
3  0.2
4  0.2
5  0.2
;

